Restaurant Name,City,Cost for two,Currency,Price range,Rating,Rating text,Votes
Blos Cafe,Pretoria,390,Rand(R),4,3.9,Good,150
Buffet 101,Pasay City,2000,Botswana Pula(P),4,4,Very Good,520
Applebee's,Abu Dhabi,250,Emirati Diram(AED),4,4,Very Good,205
Applebee's,Sharjah,250,Emirati Diram(AED),4,4.1,Very Good,197
Geoffrey's,Noida,2600,Indian Rupee,4,3,Average,579
Le Dupleix,Puducherry,1500,Indian Rupee,4,3.8,Good,456
China Club,Gurgaon,2000,Indian Rupee,4,3.8,Good,283
Bernardo's,Gurgaon,2000,Indian Rupee,4,4,Very Good,429
Souza Lobo,Goa,1300,Indian Rupee,4,4.3,Very Good,918
That Place,Vadodara,1500,Indian Rupee,4,4.4,Very Good,276
Floriditas,Wellington City,105,NewZealand($),4,4.2,Very Good,170
Chaophraya,Edinburgh,50,Pounds,4,4.3,Very Good,61
Chaophraya,Manchester,70,Pounds,4,4.3,Very Good,422
Applebee's,Doha,220,Qatari Rial(QR),4,3.8,Good,155
Paper Moon,Doha,400,Qatari Rial(QR),4,4.5,Excellent,145
Coco Safar,Cape Town,300,Rand(R),4,4.1,Very Good,88
Urbanologi,Inner City,700,Rand(R),4,4.9,Excellent,194
Sambo Kojin,Mandaluyong City,1500,Botswana Pula(P),4,4.8,Excellent,229
Malt n Brew,Noida,2000,Indian Rupee,4,0,Not rated,0
Club London,New Delhi,2500,Indian Rupee,4,3.3,Average,179
Spice Route,Puducherry,1200,Indian Rupee,4,3.4,Average,228
Spice Route,Nashik,1000,Indian Rupee,4,3.6,Good,91
Uber Lounge,New Delhi,2200,Indian Rupee,4,3.6,Good,430
Diva Spiced,New Delhi,2000,Indian Rupee,4,3.7,Good,131
Latitude 28,New Delhi,2000,Indian Rupee,4,3.8,Good,203
Moets Stone,New Delhi,2000,Indian Rupee,4,3.8,Good,354
Dirty Apron,New Delhi,2000,Indian Rupee,4,4.3,Very Good,96
Club Cubana,Goa,2000,Indian Rupee,4,4.4,Very Good,646
The Kitchin,Edinburgh,90,Pounds,4,4.4,Very Good,275
Roti & Boti,Doha,160,Qatari Rial(QR),4,3.9,Good,109
Sushi Leblon,Rio de Janeiro,250,Brazilian Real(R$),4,4.6,Excellent,25
TGI Friday's,Sharjah,250,Emirati Diram(AED),4,3.9,Good,357
Olive Garden,Abu Dhabi,230,Emirati Diram(AED),4,4.1,Very Good,422
P.F. Chang's,Abu Dhabi,250,Emirati Diram(AED),4,4.2,Very Good,435
Punjab Grill,Abu Dhabi,330,Emirati Diram(AED),4,4.9,Excellent,216
Playboy Club,New Delhi,3000,Indian Rupee,4,0,Not rated,3
Lotus Garden,New Delhi,2000,Indian Rupee,4,3.2,Average,59
Soma at Sula,Nashik,1000,Indian Rupee,4,3.3,Average,33
Global Local,Surat,1500,Indian Rupee,4,3.4,Average,47
Kabab Studio,Mangalore,1500,Indian Rupee,4,3.5,Good,183
TGI Friday's,Noida,2500,Indian Rupee,4,3.5,Good,1147
Kylin Skybar,New Delhi,2200,Indian Rupee,4,3.6,Good,210
TGI Friday's,Gurgaon,2500,Indian Rupee,4,3.7,Good,730
TGI Friday's,New Delhi,2500,Indian Rupee,4,3.7,Good,984
Bon Barbecue,Agra,1500,Indian Rupee,4,3.8,Good,57
Whisky Samba,Gurgaon,2500,Indian Rupee,4,3.8,Good,127
Villa Shanti,Puducherry,1500,Indian Rupee,4,3.9,Good,535
Olive Bistro,Gurgaon,2000,Indian Rupee,4,3.9,Good,1490
Punjab Grill,Dehradun,1250,Indian Rupee,4,4,Very Good,98
Punjab Grill,Gurgaon,2000,Indian Rupee,4,4.3,Very Good,1887
Olive Bistro,Hyderabad,2000,Indian Rupee,4,4.4,Very Good,2218
The Wolfpack,Johannesburg,350,Rand(R),4,4.1,Very Good,1024
The National,Johannesburg,515,Rand(R),4,4.2,Very Good,212
Momo Baohaus,Johannesburg,300,Rand(R),4,4.3,Very Good,180
El Pistolero,Pretoria,300,Rand(R),4,4.3,Very Good,116
Nayaab Haandi,Sharjah,100,Emirati Diram(AED),4,4.1,Very Good,449
Genghis Grill,Abu Dhabi,180,Emirati Diram(AED),4,4.6,Excellent,81
Club Ice Cube,Noida,2400,Indian Rupee,4,2,Poor,230
9 Mars Lounge,Ghaziabad,2500,Indian Rupee,4,2.5,Average,184
K2 Restaurant,Gurgaon,2000,Indian Rupee,4,3,Average,21
Lighthouse 13,New Delhi,2100,Indian Rupee,4,3.4,Average,570
Basil & Thyme,New Delhi,2200,Indian Rupee,4,3.6,Good,127
St. Anthony's,Goa,1100,Indian Rupee,4,3.8,Good,911
Public Affair,New Delhi,2100,Indian Rupee,4,3.8,Good,199
21 Gun Salute,Gurgaon,2000,Indian Rupee,4,3.9,Good,1365
Pebble Street,New Delhi,2400,Indian Rupee,4,3.9,Good,886
The Brewhouse,Gurgaon,2500,Indian Rupee,4,4.1,Very Good,56
Hops n Grains,Panchkula,2000,Indian Rupee,4,4.2,Very Good,843
Tucks and Bao,Auckland,70,NewZealand($),4,3.5,Good,86
Carbon Bistro,Pretoria,360,Rand(R),4,4.1,Very Good,84
The Big Mouth,Sandton,400,Rand(R),4,4.3,Very Good,430
NIU by Vikings,Taguig City,3000,Botswana Pula(P),4,4.7,Excellent,535
Talho Capixaba,Rio de Janeiro,120,Brazilian Real(R$),4,4.4,Very Good,13
Artichoke Cafe,Singapore,75,Dollar($),4,3.2,Average,33
Downtown Grill,Macon,70,Dollar($),4,4,Very Good,195
Duke's Waikiki,Rest of Hawaii,70,Dollar($),4,4.4,Very Good,1492
Crafted Blends,Sharjah,110,Emirati Diram(AED),4,4.2,Very Good,43
Hard Rock Cafe,Dubai,300,Emirati Diram(AED),4,4.5,Excellent,1388
Qash Retro Bar,New Delhi,2000,Indian Rupee,4,2.7,Average,81
LPK Waterfront,Goa,1500,Indian Rupee,4,3.7,Good,516
Tanto Pizzeria,Puducherry,1000,Indian Rupee,4,3.8,Good,513
Barbeque Ville,Nashik,1100,Indian Rupee,4,3.8,Good,164
Burger Factory,Goa,1100,Indian Rupee,4,4.8,Excellent,415
Masala Library,New Delhi,5000,Indian Rupee,4,4.9,Excellent,408
The Crab Shack,Wellington City,90,NewZealand($),4,4.1,Very Good,229
sketch Gallery,London,100,Pounds,4,4.5,Excellent,148
Old Town Italy,Pretoria,400,Rand(R),4,3.9,Good,153
Harissa Bistro,Pretoria,450,Rand(R),4,4.5,Excellent,287
Woodfire Grille,Dubuque,70,Dollar($),4,3.6,Good,72
Summer Pavilion,Singapore,300,Dollar($),4,3.9,Good,34
Texas de Brazil,Orlando,100,Dollar($),4,4.6,Excellent,2324
RPM - Zanzi Bar,Noida,2000,Indian Rupee,4,2.4,Poor,103
Tokyo Mon Amour,New Delhi,2200,Indian Rupee,4,3.1,Average,10
Agni - The Park,New Delhi,3000,Indian Rupee,4,3.3,Average,199
Mist - The Park,New Delhi,3500,Indian Rupee,4,3.3,Average,169
Barbeque Nation,Mangalore,1600,Indian Rupee,4,3.7,Good,193
Gung The Palace,New Delhi,2500,Indian Rupee,4,3.7,Good,303
Barbeque Nation,Nashik,1500,Indian Rupee,4,3.8,Good,117
Sutra Gastropub,Gurgaon,2300,Indian Rupee,4,3.8,Good,1046
Aqua - The Park,New Delhi,4500,Indian Rupee,4,3.8,Good,773
Barbeque Nation,Mysore,1600,Indian Rupee,4,4,Very Good,286
Tourist Janpath,New Delhi,2000,Indian Rupee,4,4.1,Very Good,501
Gung The Palace,Gurgaon,2500,Indian Rupee,4,4.2,Very Good,327
Barbeque Nation,Vadodara,1500,Indian Rupee,4,4.3,Very Good,332
Andrea's Eatery,New Delhi,2000,Indian Rupee,4,4.3,Very Good,130
Barbeque Nation,Dehradun,1600,Indian Rupee,4,4.4,Very Good,66
Martin's Corner,Goa,1600,Indian Rupee,4,4.4,Very Good,1115
Barbeque Nation,Chennai,2000,Indian Rupee,4,4.4,Very Good,3848
Barbeque Nation,Lucknow,1600,Indian Rupee,4,4.7,Excellent,1069
Barbeque Nation,Guwahati,1500,Indian Rupee,4,4.9,Excellent,774
Barbeque Nation,Nagpur,1600,Indian Rupee,4,4.9,Excellent,226
Barbeque Nation,Vizag,1600,Indian Rupee,4,4.9,Excellent,345
The Garden Shed,Auckland,90,NewZealand($),4,4.2,Very Good,271
Texas Roadhouse,Doha,250,Qatari Rial(QR),4,4,Very Good,41
Nobu - One&Only,Cape Town,535,Rand(R),4,4,Very Good,110
Life Grand Cafe,Pretoria,400,Rand(R),4,4.1,Very Good,232
Jamie's Italian,Sandton,400,Rand(R),4,4.1,Very Good,251
Escondido Tapas,Sandton,450,Rand(R),4,4.4,Very Good,743
Licorish Bistro,Sandton,545,Rand(R),4,4.6,Excellent,892
T.G.I. Friday's,Colombo,4000,Sri Lankan Rupee(LKR),4,4,Very Good,166
D.O.C Ristorante,Rio de Janeiro,150,Brazilian Real(R$),4,4,Very Good,5
Potato Head Folk,Singapore,80,Dollar($),4,3.1,Average,34
Duck City Bistro,Davenport,70,Dollar($),4,3.7,Good,201
Restaurant Andre,Singapore,500,Dollar($),4,3.8,Good,33
Blue Point Grill,Princeton,70,Dollar($),4,4,Very Good,542
The Wine Company,Gurgaon,2000,Indian Rupee,4,2.4,Poor,2412
Admission Lounge,New Delhi,2500,Indian Rupee,4,2.7,Average,24
Elma's Brasserie,New Delhi,2000,Indian Rupee,4,3.7,Good,393
Vista - The Park,Vizag,1500,Indian Rupee,4,3.8,Good,74
Elan - The Lodhi,New Delhi,3000,Indian Rupee,4,3.8,Good,185
Pirates of Grill,Gurgaon,2000,Indian Rupee,4,4.1,Very Good,2806
Virgin Courtyard,Chandigarh,2200,Indian Rupee,4,4.4,Very Good,817
Manchester House,Manchester,85,Pounds,4,4,Very Good,52
Lasan Restaurant,Birmingham,80,Pounds,4,4.1,Very Good,213
Willoughby & Co.,Cape Town,570,Rand(R),4,4.4,Very Good,466
The Black Bamboo,Pretoria,600,Rand(R),4,4.4,Very Good,84
Ministry of Crab,Colombo,4000,Sri Lankan Rupee(LKR),4,4.9,Excellent,203
Garota de Ipanema,Rio de Janeiro,120,Brazilian Real(R$),4,4.9,Excellent,49
Mama's Fish House,Rest of Hawaii,70,Dollar($),4,4.9,Excellent,1343
SSKY Bar & Lounge,New Delhi,2800,Indian Rupee,4,3.5,Good,92
Punjabi By Nature,Noida,2000,Indian Rupee,4,3.7,Good,770
The Hungry Monkey,New Delhi,2300,Indian Rupee,4,3.7,Good,622
Spaghetti Kitchen,New Delhi,2000,Indian Rupee,4,3.8,Good,601
The Smoke Factory,Noida,2000,Indian Rupee,4,3.8,Good,240
7 Barrel Brew Pub,Gurgaon,2000,Indian Rupee,4,3.9,Good,490
10 Downing Street,Indore,1500,Indian Rupee,4,4,Very Good,413
Effingut Brewerkz,Pune,2000,Indian Rupee,4,4.3,Very Good,375
Brooklyn Brothers,Pretoria,300,Rand(R),4,3.8,Good,57
Rocks on the River,Savannah,70,Dollar($),4,4,Very Good,687
Tursi's Latin King,Des Moines,70,Dollar($),4,4.1,Very Good,476
Vic's On The River,Savannah,70,Dollar($),4,4.1,Very Good,558
Bern's Steak House,Tampa Bay,70,Dollar($),4,4.7,Excellent,3157
Linx - Premier Inn,New Delhi,2000,Indian Rupee,4,3,Average,32
Eden Kitchen & Bar,Noida,2000,Indian Rupee,4,3.1,Average,129
SBar Club & Lounge,Gurgaon,2200,Indian Rupee,4,3.1,Average,13
The Cocktail House,New Delhi,2000,Indian Rupee,4,3.4,Average,58
Nero - Le Meridien,New Delhi,3000,Indian Rupee,4,3.5,Good,39
Wok  In The Clouds,New Delhi,2000,Indian Rupee,4,3.8,Good,669
Lord of the Drinks,New Delhi,2200,Indian Rupee,4,3.9,Good,2589
Dhaba By Claridges,Gurgaon,2000,Indian Rupee,4,4,Very Good,1658
The Sizzling Salsa,Surat,1500,Indian Rupee,4,4.1,Very Good,204
BRONX Bar Exchange,Gurgaon,2100,Indian Rupee,4,4.1,Very Good,569
7 Degrees Brauhaus,Gurgaon,3200,Indian Rupee,4,4.2,Very Good,1193
The Kimchi Project,Auckland,90,NewZealand($),4,4.2,Very Good,61
The Belgian Triple,Pretoria,500,Rand(R),4,4.2,Very Good,20
Kloof Street House,Cape Town,350,Rand(R),4,4.5,Excellent,356
Gemelli Cucina Bar,Sandton,450,Rand(R),4,4.8,Excellent,542
Confeitaria Colombo,Rio de Janeiro,100,Brazilian Real(R$),4,4.8,Excellent,29
Barbacoa Restaurant,Boise,70,Dollar($),4,4.1,Very Good,538
The Olde Pink House,Savannah,70,Dollar($),4,4.4,Very Good,1803
Carnival By Tresind,Dubai,500,Emirati Diram(AED),4,4.9,Excellent,322
Etal The Lounge Bar,New Delhi,2000,Indian Rupee,4,3.2,Average,455
Samavar - The Ashok,New Delhi,2200,Indian Rupee,4,3.2,Average,48
Bonitos - The Uppal,New Delhi,3000,Indian Rupee,4,3.2,Average,28
S-18 - Radisson Blu,Noida,3200,Indian Rupee,4,3.5,Good,218
Restaurant De Seoul,New Delhi,2500,Indian Rupee,4,3.6,Good,59
DEL - Roseate House,New Delhi,3000,Indian Rupee,4,3.6,Good,30
Blooms - Eros Hotel,New Delhi,4000,Indian Rupee,4,3.9,Good,150
1911 - The Imperial,New Delhi,6000,Indian Rupee,4,3.9,Good,272
United Coffee House,New Delhi,2200,Indian Rupee,4,4.1,Very Good,1838
Zerruco - The Ashok,New Delhi,2500,Indian Rupee,4,4.4,Very Good,609
Remo's Maximilliano,Sandton,360,Rand(R),4,3.8,Good,390
Grand Caf�� & Beach,Cape Town,450,Rand(R),4,3.8,Good,280
Baobab Cafe & Grill,Pretoria,410,Rand(R),4,4,Very Good,235
Salsa Mexican Grill,Sandton,330,Rand(R),4,4.3,Very Good,488
Chandlers Steakhouse,Boise,70,Dollar($),4,3.9,Good,379
Cut By Wolfgang Puck,Singapore,270,Dollar($),4,4,Very Good,33
Fratini La Trattoria,Singapore,100,Dollar($),4,4.1,Very Good,35
Aces - The Card Room,New Delhi,2000,Indian Rupee,4,0,Not rated,2
The 87 - Premier Inn,New Delhi,2200,Indian Rupee,4,3.1,Average,18
The Barge Restaurant,Mysore,1500,Indian Rupee,4,3.3,Average,11
Royal Brewery Bistro,New Delhi,2000,Indian Rupee,4,3.5,Good,14
Aura - The Claridges,New Delhi,4100,Indian Rupee,4,3.5,Good,42
The Oudh - The Ashok,New Delhi,3700,Indian Rupee,4,3.6,Good,100
Frontier - The Ashok,New Delhi,3600,Indian Rupee,4,3.7,Good,101
Jade - The Claridges,New Delhi,5000,Indian Rupee,4,3.8,Good,134
Bukhara - ITC Maurya,New Delhi,6500,Indian Rupee,4,4.4,Very Good,2826
The Great Indian Pub,Dehradun,1500,Indian Rupee,4,4.9,Excellent,50
7st by Mumbai Spices,Doha,150,Qatari Rial(QR),4,3.4,Average,74
Vine - The St. Regis,Doha,550,Qatari Rial(QR),4,4.4,Very Good,67
Pesqueiro Eco Gourmet,Rio de Janeiro,140,Brazilian Real(R$),4,4,Very Good,7
Rhubarb Le Restaurant,Singapore,315,Dollar($),4,3.9,Good,33
Lake House Restaurant,Vineland Station,70,Dollar($),4,4.3,Very Good,204
Golf Bar - ITC Maurya,New Delhi,3500,Indian Rupee,4,3.5,Good,45
The One - Le Meridien,New Delhi,4500,Indian Rupee,4,3.8,Good,273
Town Table Restaurant,Dehradun,1000,Indian Rupee,4,3.9,Good,173
Dhaba - The Claridges,New Delhi,4300,Indian Rupee,4,3.9,Good,548
Taj Bano - ITC Mughal,Agra,2500,Indian Rupee,4,4,Very Good,41
FIO Cookhouse and Bar,New Delhi,3500,Indian Rupee,4,4,Very Good,752
Square - Sayaji Hotel,Indore,1500,Indian Rupee,4,4.3,Very Good,334
Peshawri - ITC Mughal,Agra,2500,Indian Rupee,4,4.3,Very Good,133
The Fisherman's Wharf,Goa,1100,Indian Rupee,4,4.4,Very Good,323
Cafe Del Sol Botanico,Sandton,400,Rand(R),4,4.4,Very Good,499
Heat - Edsa Shangri-La,Mandaluyong City,4000,Botswana Pula(P),4,4.4,Very Good,270
The Refinery Singapore,Singapore,80,Dollar($),4,3.2,Average,30
Edison: Food+Drink Lab,Tampa Bay,70,Dollar($),4,3.9,Good,373
Seasons 52 Fresh Grill,Orlando,60,Dollar($),4,4.4,Very Good,1685
The Cheesecake Factory,Abu Dhabi,200,Emirati Diram(AED),4,4.6,Excellent,586
Famous Dave's Barbecue,Abu Dhabi,260,Emirati Diram(AED),4,4.6,Excellent,376
Zune - Piccadily Hotel,New Delhi,2000,Indian Rupee,4,2.6,Average,67
Gulnar - Hotel Janpath,New Delhi,2000,Indian Rupee,4,3.2,Average,40
Matrix - Jaypee Greens,Noida,2000,Indian Rupee,4,3.2,Average,20
Flluid - Mosaic Hotels,Noida,2200,Indian Rupee,4,3.2,Average,135
Insomnia - Taj Vivanta,New Delhi,3000,Indian Rupee,4,3.3,Average,50
TFK - The Flaming Kick,Noida,2350,Indian Rupee,4,3.5,Good,214
Paatra - Jaypee Greens,Noida,3500,Indian Rupee,4,3.5,Good,79
56 Ristorante Italiano,Gurgaon,2200,Indian Rupee,4,3.7,Good,416
Lutyens Cocktail House,New Delhi,2100,Indian Rupee,4,3.9,Good,299
Smokey's BBQ and Grill,New Delhi,2100,Indian Rupee,4,4.2,Very Good,578
The Black Sheep Bistro,Goa,1500,Indian Rupee,4,4.7,Excellent,681
Geet Indian Restaurant,Pretoria,320,Rand(R),4,4.4,Very Good,147
Cube - Tasting Kitchen,Inner City,1540,Rand(R),4,4.9,Excellent,441
Wildflour Cafe + Bakery,Taguig City,1500,Botswana Pula(P),4,4.4,Very Good,392
Maggiano's Little Italy,Orlando,50,Dollar($),4,4.4,Very Good,886
Zaffran - The Claremont,Gurgaon,2500,Indian Rupee,4,3,Average,4
Bonitos Blu - The Uppal,New Delhi,2500,Indian Rupee,4,3,Average,5
1911 Bar - The Imperial,New Delhi,2000,Indian Rupee,4,3.2,Average,10
The Great Kabab Factory,New Delhi,2200,Indian Rupee,4,3.5,Good,498
The Great Kabab Factory,Noida,2200,Indian Rupee,4,3.5,Good,540
Infinity - Crowne Plaza,New Delhi,3000,Indian Rupee,4,3.5,Good,115
18 Degrees Resto Lounge,Pune,2100,Indian Rupee,4,3.6,Good,1566
Wildfire - Crowne Plaza,Gurgaon,5000,Indian Rupee,4,3.7,Good,131
Longitude - Le Meridien,New Delhi,2000,Indian Rupee,4,3.9,Good,90
MEGU - The Leela Palace,New Delhi,5500,Indian Rupee,4,3.9,Good,178
Black Pepper Restaurant,Dehradun,1200,Indian Rupee,4,4,Very Good,175
Artusi Ristorante e Bar,New Delhi,3000,Indian Rupee,4,4.1,Very Good,496
Perch Wine & Coffee Bar,New Delhi,2000,Indian Rupee,4,4.2,Very Good,551
Sevilla - The Claridges,New Delhi,4500,Indian Rupee,4,4.3,Very Good,800
Mosaic - SK Premium Park,New Delhi,2500,Indian Rupee,4,2.9,Average,14
Cup Cakes - Radisson Blu,New Delhi,2000,Indian Rupee,4,3.1,Average,40
Konomi - Trident Gurgaon,Gurgaon,3000,Indian Rupee,4,3.5,Good,27
California Pizza Kitchen,Gurgaon,2500,Indian Rupee,4,3.7,Good,980
Blueline - The Promenade,Puducherry,1500,Indian Rupee,4,3.8,Good,192
Fuji Japanese Restaurant,New Delhi,2000,Indian Rupee,4,4,Very Good,312
Lord of the Drinks Forum,New Delhi,2500,Indian Rupee,4,4.2,Very Good,756
The California Boulevard,New Delhi,2000,Indian Rupee,4,4.6,Excellent,1691
Restaurant Gordon Ramsay,London,230,Pounds,4,4.7,Excellent,320
The Smokehouse and Grill,Sandton,300,Rand(R),4,4.4,Very Good,90
Peking Chinese Restaurant,Sharjah,130,Emirati Diram(AED),4,3.8,Good,227
Americana Kitchen and Bar,Noida,2000,Indian Rupee,4,2.4,Poor,221
Lattitude - Skycity Hotel,Gurgaon,2500,Indian Rupee,4,2.9,Average,15
Cigar Lounge - The Oberoi,Gurgaon,3000,Indian Rupee,4,3.2,Average,17
The Bar - Trident Gurgaon,Gurgaon,2000,Indian Rupee,4,3.3,Average,36
Henri's Bar - Le Meridien,New Delhi,2000,Indian Rupee,4,3.3,Average,20
Waterfront - Radisson Blu,Ranchi,2000,Indian Rupee,4,3.4,Average,62
Paatra - Jaypee Siddharth,New Delhi,3500,Indian Rupee,4,3.4,Average,120
Lounge & Bar - Eros Hotel,New Delhi,3650,Indian Rupee,4,3.5,Good,18
The Atrium - The Imperial,New Delhi,2500,Indian Rupee,4,3.6,Good,57
Pickwicks - The Claridges,New Delhi,3600,Indian Rupee,4,3.7,Good,139
Latitude - Vivanta By Taj,Gurgaon,3500,Indian Rupee,4,3.8,Good,305
The Old School Brew House,Gurgaon,2000,Indian Rupee,4,3.9,Good,96
EEST - The Westin Gurgaon,Gurgaon,3000,Indian Rupee,4,3.9,Good,272
La Piazza - Hyatt Regency,New Delhi,4500,Indian Rupee,4,3.9,Good,410
Lord of the Drinks Meadow,New Delhi,2200,Indian Rupee,4,4.2,Very Good,278
Britto's Bar & Restaurant,Goa,1400,Indian Rupee,4,4.3,Very Good,2191
Indian Accent - The Manor,New Delhi,4000,Indian Rupee,4,4.9,Excellent,1934
Eight - The Langham Hotel,Auckland,190,NewZealand($),4,4.7,Excellent,412
The Manhattan FISH MARKET,Doha,150,Qatari Rial(QR),4,4,Very Good,180
Zaffran Dining Experience,Doha,300,Qatari Rial(QR),4,4.6,Excellent,348
Mainland China Restaurant,Doha,250,Qatari Rial(QR),4,4.9,Excellent,182
The Manhattan Fish Market,Colombo,4500,Sri Lankan Rupee(LKR),4,4,Very Good,196
Lord's - The Sports Lounge,New Delhi,2000,Indian Rupee,4,0,Not rated,1
Oro The Bar - Radisson Blu,New Delhi,2500,Indian Rupee,4,3.3,Average,36
GBar - The Grand New Delhi,New Delhi,2650,Indian Rupee,4,3.3,Average,145
Patiala Peg - The Imperial,New Delhi,3000,Indian Rupee,4,3.3,Average,25
Le Belvedere - Le Meridien,New Delhi,5000,Indian Rupee,4,3.5,Good,114
